epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,133.108,1.51787,1.20337,1.18783,0.84797,0.75427,0.82562,0.35581,1.8495,0.8803,1.15519,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907
2,256.989,1.37146,0.76122,1.08386,0.87955,0.8122,0.86943,0.38814,1.77535,0.82491,1.15363,0.0197893,0.00659644,0.0197893,0.00659644,0.0197893,0.00659644,0.0197893,0.00659644
3,365.066,1.3689,0.73147,1.09139,0.8773,0.79796,0.85634,0.38381,1.807,0.82026,1.18067,0.0293934,0.00979782,0.0293934,0.00979782,0.0293934,0.00979782,0.0293934,0.00979782
4,474.154,1.35243,0.70747,1.08716,0.88753,0.83333,0.8892,0.40161,1.74657,0.77872,1.16192,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,582.326,1.30911,0.66995,1.07414,0.90121,0.83644,0.89908,0.41864,1.71956,0.74216,1.14229,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,691.209,1.27286,0.64524,1.06194,0.91113,0.84276,0.90371,0.42302,1.71421,0.72642,1.14038,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,800.513,1.25291,0.62994,1.0541,0.91212,0.85239,0.91014,0.43115,1.69537,0.70891,1.13538,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,915.907,1.24232,0.61825,1.0491,0.90995,0.85769,0.91062,0.43269,1.70088,0.69954,1.13704,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1027.53,1.23631,0.6118,1.04533,0.9118,0.86135,0.91038,0.4261,1.7194,0.70137,1.13866,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1137.6,1.22441,0.60332,1.0413,0.91556,0.86249,0.91769,0.43812,1.68658,0.6846,1.12353,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1247.53,1.21726,0.59686,1.03949,0.91883,0.86365,0.9198,0.44326,1.66254,0.67912,1.12138,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1357.8,1.20549,0.59058,1.03605,0.91692,0.86984,0.92054,0.44159,1.66893,0.67683,1.12054,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1468.55,1.19602,0.58467,1.0337,0.91935,0.8691,0.91982,0.44167,1.67978,0.67293,1.12782,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1578.21,1.19653,0.58278,1.03174,0.9218,0.87551,0.92503,0.44666,1.66612,0.66804,1.11733,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1686.06,1.18828,0.57835,1.03079,0.92567,0.87667,0.9256,0.44524,1.66896,0.66216,1.12082,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1797.46,1.18213,0.57375,1.02725,0.92005,0.87907,0.92592,0.44881,1.64697,0.66373,1.11464,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
