epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,296.628,3.39823,2.63158,2.94262,0.51054,0.26835,0.27578,0.10505,2.36062,1.44074,1.55048,0.00599516,0.00199839,0.00599516,0.00199839,0.00599516,0.00199839,0.00599516,0.00199839
2,566.723,2.01305,1.30064,1.54153,0.71644,0.4058,0.43853,0.18123,2.07264,1.12094,1.3204,0.0119556,0.00398519,0.0119556,0.00398519,0.0119556,0.00398519,0.0119556,0.00398519
3,833.476,1.76165,1.0538,1.35531,0.77327,0.48456,0.53833,0.25603,1.77775,0.93056,1.1782,0.0178764,0.0059588,0.0178764,0.0059588,0.0178764,0.0059588,0.0178764,0.0059588
4,1056.87,1.6626,0.96234,1.28902,0.78953,0.50899,0.56401,0.28013,1.67046,0.8696,1.12791,0.0237576,0.0079192,0.0237576,0.0079192,0.0237576,0.0079192,0.0237576,0.0079192
5,1280.92,1.62215,0.92605,1.25601,0.79108,0.5312,0.5853,0.29608,1.59643,0.84821,1.0939,0.0295992,0.00986641,0.0295992,0.00986641,0.0295992,0.00986641,0.0295992,0.00986641
6,1492.94,1.57317,0.88532,1.22244,0.8155,0.54285,0.60414,0.31362,1.57627,0.80903,1.06782,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,1717.92,1.54442,0.85976,1.18759,0.81685,0.56603,0.62509,0.3297,1.52938,0.78706,1.04319,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1929.23,1.51181,0.83319,1.16551,0.82622,0.57069,0.63493,0.33821,1.514,0.76286,1.03493,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,2155.4,1.49148,0.81783,1.15251,0.82796,0.57975,0.64339,0.3462,1.48534,0.74758,1.02238,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,3870.38,1.47481,0.80409,1.14046,0.82836,0.58731,0.65084,0.35209,1.47042,0.73609,1.01611,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,4109.31,1.46108,0.79138,1.13161,0.83013,0.59052,0.65358,0.35442,1.46768,0.73085,1.01046,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,4327.38,1.44498,0.77898,1.12427,0.83025,0.59674,0.65863,0.35803,1.45546,0.7206,1.00646,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,4544.98,1.44009,0.77311,1.11837,0.83325,0.59956,0.66185,0.36042,1.45351,0.71835,1.00321,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,4775.38,1.43522,0.76902,1.11329,0.83591,0.60275,0.66554,0.36405,1.44196,0.71158,0.99844,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,4992.72,1.42809,0.7638,1.10866,0.83589,0.60551,0.66857,0.36615,1.43776,0.70713,0.99582,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,5953.71,1.42067,0.75778,1.10216,0.83513,0.60869,0.67103,0.36896,1.43077,0.70438,0.99216,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,7015.28,1.4133,0.75397,1.09989,0.8379,0.60932,0.67233,0.37023,1.42904,0.70182,0.9899,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,7228.33,1.40724,0.74933,1.09522,0.83762,0.61202,0.6741,0.37224,1.42632,0.69924,0.98749,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,7490.55,1.41083,0.75092,1.09306,0.83866,0.6125,0.6764,0.37408,1.42117,0.69627,0.98528,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,7702.82,1.4045,0.74438,1.09078,0.84029,0.61306,0.67736,0.37496,1.41839,0.69347,0.98382,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,7915.18,1.39796,0.74279,1.087,0.84096,0.61364,0.67837,0.37569,1.41655,0.69169,0.98251,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,8129.14,1.39729,0.74052,1.08578,0.84132,0.6155,0.67949,0.37674,1.41378,0.68975,0.98156,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,8342.58,1.39377,0.73833,1.08472,0.84145,0.61666,0.68006,0.37782,1.4118,0.68849,0.98067,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,8555.64,1.38694,0.73327,1.07958,0.84088,0.61808,0.6811,0.37803,1.40984,0.68709,0.97973,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,8768.79,1.38482,0.7314,1.0771,0.84022,0.61894,0.68181,0.37866,1.40781,0.68572,0.97878,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,8978.78,1.38304,0.72848,1.07531,0.84056,0.61962,0.68251,0.3795,1.40641,0.68449,0.97792,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,9189.46,1.37806,0.72684,1.07503,0.84085,0.62014,0.68299,0.37997,1.40557,0.68337,0.97739,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,9400.05,1.37911,0.72646,1.07443,0.84033,0.62129,0.6836,0.38066,1.40419,0.68229,0.97674,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,9614.81,1.37881,0.72502,1.07351,0.84142,0.62146,0.68413,0.38092,1.4032,0.68151,0.97611,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,11208.5,1.37123,0.72267,1.07204,0.84143,0.62204,0.68435,0.38168,1.40201,0.68093,0.97555,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
