epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3134.75,1.1357,0.54207,1.0105,0.92773,0.89505,0.93738,0.46343,1.61288,0.62431,1.10516,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3231.43,1.13927,0.54278,1.01013,0.92786,0.89575,0.93721,0.4634,1.61222,0.62402,1.10439,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3328.34,1.13349,0.5404,1.00828,0.9276,0.89589,0.93707,0.46338,1.61146,0.62385,1.10348,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3425.01,1.12967,0.53919,1.00784,0.9268,0.89668,0.93759,0.46386,1.60865,0.62282,1.10258,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3521.65,1.12743,0.53802,1.00828,0.92768,0.89635,0.93831,0.46459,1.60755,0.62296,1.10187,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3618.22,1.12557,0.53557,1.00427,0.92696,0.89677,0.93807,0.46517,1.60696,0.62225,1.10125,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3714.94,1.1253,0.53475,1.00425,0.9267,0.89696,0.93828,0.46487,1.60701,0.62135,1.1013,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3811.96,1.12136,0.53438,1.0043,0.92616,0.89691,0.93788,0.46472,1.60733,0.62154,1.1012,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3908.74,1.12092,0.53373,1.00238,0.92668,0.89789,0.93853,0.46474,1.60722,0.62139,1.10129,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4005.24,1.12034,0.53202,1.00324,0.92723,0.89663,0.93833,0.46536,1.60703,0.62081,1.10095,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4101.98,1.12338,0.53242,1.00139,0.92727,0.89663,0.9387,0.46571,1.6063,0.62043,1.10073,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4198.66,1.11682,0.53069,0.99973,0.92666,0.89643,0.9385,0.46549,1.60655,0.62013,1.10081,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4295.42,1.10947,0.52614,1.00021,0.92633,0.89736,0.93856,0.46552,1.60729,0.61999,1.10088,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4392.01,1.11087,0.52623,0.99987,0.92581,0.89803,0.93855,0.46547,1.60793,0.61994,1.10079,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4488.74,1.11658,0.52758,1.00041,0.92563,0.89752,0.93849,0.46562,1.6078,0.61984,1.1007,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4585.42,1.11112,0.5259,0.99885,0.92496,0.89742,0.93834,0.46529,1.60809,0.6196,1.10062,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4682.22,1.10787,0.52436,0.99808,0.92527,0.89733,0.93846,0.46537,1.60801,0.61907,1.1006,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4778.9,1.10877,0.52302,0.99963,0.92539,0.89803,0.93877,0.46566,1.60794,0.61855,1.10049,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4875.66,1.10409,0.52221,0.99692,0.92501,0.89896,0.93897,0.46545,1.60769,0.61821,1.1004,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4972.43,1.10413,0.52159,0.99626,0.92579,0.89854,0.93897,0.46563,1.60766,0.61798,1.1003,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5069.16,1.10305,0.51908,0.99716,0.92634,0.89821,0.93907,0.466,1.60759,0.61789,1.10037,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5166.06,1.09976,0.51875,0.99507,0.92549,0.89856,0.939,0.46582,1.60733,0.61784,1.10026,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5263.07,1.1014,0.51884,0.99489,0.92585,0.89856,0.939,0.46576,1.60734,0.61751,1.10035,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5360.71,1.1006,0.51853,0.99445,0.9255,0.89862,0.93911,0.46598,1.60728,0.61751,1.10027,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5465.94,1.09735,0.51742,0.99234,0.92572,0.89922,0.93901,0.46588,1.60711,0.61741,1.10016,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5571.48,1.09418,0.51561,0.9927,0.92604,0.89931,0.9389,0.46616,1.60718,0.61694,1.10018,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5676.22,1.09449,0.51557,0.99224,0.92607,0.89938,0.93916,0.46602,1.60704,0.61683,1.10001,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5782.7,1.09468,0.5144,0.98923,0.92642,0.89924,0.93909,0.46577,1.60708,0.61696,1.09996,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5892.51,1.08756,0.51228,0.99009,0.92643,0.89925,0.93898,0.4658,1.60688,0.61663,1.09988,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6002.48,1.09218,0.51418,0.99066,0.92688,0.89925,0.93899,0.46595,1.60677,0.61651,1.0998,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
