epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,132.835,3.49418,2.7087,3.20963,0.44733,0.35397,0.34184,0.10082,2.71295,1.62647,1.85121,0.00599232,0.00199744,0.00599232,0.00199744,0.00599232,0.00199744,0.00599232,0.00199744
2,260.547,2.02216,1.32927,1.69479,0.73557,0.60849,0.67994,0.2552,2.10285,1.11583,1.47783,0.0119527,0.00398425,0.0119527,0.00398425,0.0119527,0.00398425,0.0119527,0.00398425
3,375.468,1.72486,1.04925,1.45114,0.80409,0.69445,0.76724,0.3019,1.98673,0.9586,1.39685,0.0178736,0.00595786,0.0178736,0.00595786,0.0178736,0.00595786,0.0178736,0.00595786
4,479.01,1.6198,0.9424,1.37618,0.83408,0.73805,0.80408,0.33059,1.91891,0.91884,1.37305,0.0237548,0.00791826,0.0237548,0.00791826,0.0237548,0.00791826,0.0237548,0.00791826
5,584.66,1.57058,0.89828,1.33701,0.8503,0.76947,0.82442,0.34235,1.93306,0.88033,1.37114,0.0295964,0.00986547,0.0295964,0.00986547,0.0295964,0.00986547,0.0295964,0.00986547
6,688.311,1.52807,0.85246,1.30011,0.87325,0.78694,0.85364,0.37562,1.80852,0.81224,1.30017,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,791.706,1.47604,0.80883,1.26933,0.8855,0.80438,0.87094,0.38727,1.79051,0.79033,1.28347,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,895.631,1.44336,0.77646,1.24699,0.88659,0.8228,0.88096,0.40045,1.76541,0.76447,1.26487,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,999.629,1.41886,0.75855,1.23258,0.89228,0.82904,0.88729,0.40065,1.76809,0.75367,1.25647,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1103.21,1.39842,0.73905,1.21838,0.8935,0.82862,0.88469,0.39919,1.77913,0.73889,1.24786,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1207.33,1.38587,0.73071,1.20938,0.89653,0.83765,0.89471,0.41022,1.74345,0.72728,1.23764,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1311.2,1.36992,0.71991,1.20338,0.89715,0.84067,0.89408,0.41283,1.74171,0.71804,1.23619,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1415.54,1.36375,0.71179,1.19265,0.90434,0.84527,0.90206,0.41591,1.7367,0.72339,1.22516,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1519.18,1.36321,0.71665,1.18767,0.90844,0.83589,0.89661,0.41292,1.74721,0.73219,1.21491,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1622.67,1.35817,0.71331,1.17616,0.90822,0.84718,0.90244,0.4203,1.73365,0.72432,1.20431,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1725.97,1.35424,0.70838,1.16781,0.91092,0.84886,0.90763,0.42623,1.71766,0.71769,1.19839,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1829.55,1.34822,0.70402,1.16323,0.90839,0.85081,0.90722,0.42434,1.72642,0.71418,1.2029,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1932.98,1.33679,0.69887,1.15982,0.90965,0.85148,0.90504,0.42162,1.73188,0.71414,1.2002,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2036.6,1.33128,0.69552,1.15243,0.90924,0.84816,0.90677,0.42083,1.73188,0.71304,1.19636,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2139.95,1.33252,0.69223,1.14923,0.9072,0.84998,0.90419,0.41828,1.73501,0.71002,1.19647,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2243.9,1.32865,0.69048,1.14722,0.90875,0.853,0.90559,0.41995,1.73677,0.70497,1.19706,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,2347.25,1.32334,0.68744,1.14602,0.91261,0.85551,0.90769,0.42155,1.73427,0.70102,1.19447,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2450.3,1.3224,0.68474,1.14421,0.91191,0.85717,0.91038,0.42345,1.72766,0.69916,1.19138,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2553.21,1.31194,0.68039,1.13687,0.91022,0.86211,0.91158,0.42313,1.72894,0.69754,1.19182,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2655.92,1.30259,0.67395,1.13452,0.91462,0.85915,0.91018,0.42232,1.7326,0.69438,1.18994,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2758.83,1.30559,0.67456,1.13299,0.91373,0.86078,0.91408,0.42888,1.71435,0.68803,1.18408,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2861.9,1.30298,0.67168,1.13054,0.91599,0.8587,0.91391,0.42703,1.72298,0.68667,1.1864,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2964.67,1.2943,0.66579,1.12605,0.91525,0.86159,0.91434,0.42824,1.71654,0.68671,1.18352,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,3067.39,1.29733,0.66797,1.12764,0.91393,0.86149,0.91385,0.42846,1.71721,0.68474,1.18381,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,3169.89,1.29401,0.66504,1.12223,0.91658,0.86142,0.91473,0.42788,1.71915,0.68474,1.18261,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
31,3272.8,1.29682,0.66352,1.12196,0.91563,0.86318,0.91592,0.4288,1.7201,0.68419,1.18226,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
32,3375.34,1.28634,0.65924,1.11978,0.9174,0.86186,0.91449,0.42825,1.72135,0.68313,1.1829,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977,0.026931,0.008977
33,3478.01,1.29263,0.66166,1.11894,0.91571,0.86304,0.91401,0.42694,1.72592,0.68313,1.18388,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
34,3580.63,1.28696,0.66129,1.11773,0.91393,0.86691,0.91628,0.42889,1.72136,0.68145,1.18184,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
35,3683.51,1.28223,0.65596,1.11241,0.91515,0.86723,0.91677,0.4295,1.71722,0.68018,1.17957,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
36,3786.31,1.28464,0.65533,1.11361,0.91696,0.86663,0.91678,0.4305,1.7149,0.67872,1.17844,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
37,3889.02,1.27843,0.65525,1.11294,0.91615,0.86677,0.91713,0.43162,1.71105,0.67779,1.17642,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
38,3991.61,1.27386,0.6507,1.10684,0.91579,0.86909,0.91878,0.43598,1.69877,0.67432,1.17213,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779,0.026337,0.008779
