epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,85.755,3.65499,2.27452,2.55866,0.40322,0.26905,0.25866,0.08864,2.8602,1.4108,1.31595,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907,0.0099872,0.00332907
2,158.872,1.88179,1.00031,1.22175,0.6229,0.45311,0.48073,0.1811,2.34348,1.13291,1.15134,0.0199212,0.00664041,0.0199212,0.00664041,0.0199212,0.00664041,0.0199212,0.00664041
3,220.504,1.6902,0.86436,1.13914,0.66854,0.51963,0.55212,0.21108,2.224,1.00349,1.11471,0.0297893,0.00992976,0.0297893,0.00992976,0.0297893,0.00992976,0.0297893,0.00992976
4,282.141,1.57742,0.78547,1.09465,0.72833,0.59337,0.62762,0.23993,2.13546,0.90576,1.0924,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,343.465,1.49001,0.72791,1.07025,0.75678,0.63603,0.67712,0.26507,2.06202,0.85923,1.07167,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,404.864,1.42891,0.69214,1.05358,0.7823,0.64662,0.69692,0.27931,2.03009,0.81447,1.06811,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,466.111,1.39579,0.67017,1.04348,0.79249,0.66184,0.71466,0.29144,1.98032,0.78888,1.06117,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,527.49,1.37389,0.65438,1.03641,0.80438,0.6785,0.72973,0.29916,1.96114,0.77906,1.05365,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,588.991,1.36082,0.64354,1.03109,0.798,0.69055,0.73048,0.29518,1.97618,0.7823,1.05842,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,650.574,1.34299,0.63165,1.02553,0.81414,0.69883,0.74494,0.30718,1.94609,0.75448,1.04737,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,712.072,1.33191,0.62373,1.02312,0.81534,0.70929,0.75133,0.31336,1.92522,0.74613,1.03978,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,773.467,1.3239,0.62179,1.01942,0.81623,0.70955,0.7577,0.31458,1.93875,0.76184,1.04135,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,834.795,1.31943,0.62585,1.01347,0.83371,0.70869,0.76647,0.32252,1.914,0.76091,1.03016,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
