epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,161.475,3.49418,2.7087,3.20963,0.44733,0.35397,0.34184,0.10082,2.71295,1.62647,1.85121,0.00599232,0.00199744,0.00599232,0.00199744,0.00599232,0.00199744,0.00599232,0.00199744
2,318.652,2.02216,1.32927,1.69479,0.73557,0.60849,0.67994,0.2552,2.10285,1.11583,1.47783,0.0119527,0.00398425,0.0119527,0.00398425,0.0119527,0.00398425,0.0119527,0.00398425
3,460.342,1.72486,1.04925,1.45114,0.80409,0.69445,0.76724,0.3019,1.98673,0.9586,1.39685,0.0178736,0.00595786,0.0178736,0.00595786,0.0178736,0.00595786,0.0178736,0.00595786
4,584.186,1.6198,0.9424,1.37618,0.83408,0.73805,0.80408,0.33059,1.91891,0.91884,1.37305,0.0237548,0.00791826,0.0237548,0.00791826,0.0237548,0.00791826,0.0237548,0.00791826
5,707.802,1.57058,0.89828,1.33701,0.8503,0.76947,0.82442,0.34235,1.93306,0.88033,1.37114,0.0295964,0.00986547,0.0295964,0.00986547,0.0295964,0.00986547,0.0295964,0.00986547
6,830.195,1.52807,0.85246,1.30011,0.87325,0.78694,0.85364,0.37562,1.80852,0.81224,1.30017,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,952.765,1.47604,0.80883,1.26933,0.8855,0.80438,0.87094,0.38727,1.79051,0.79033,1.28347,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
